"skills","skill_count","avg_salary"
"pandas","13","146476.31"
"databricks","17","133342.12"
"c","15","122914.33"
"hadoop","24","120509.85"
"go","40","118776.99"
"bigquery","18","116516.67"
"aws","31","116222.69"
"snowflake","59","114681.85"
"azure","35","113936.56"
"html","10","113229.00"
"spark","16","112906.25"
"java","20","111834.98"
"confluence","13","111716.08"
"looker","76","111240.58"
"oracle","46","109522.59"
"c++","12","109336.71"
"nosql","17","108551.68"
"qlik","17","108041.21"
"ssis","17","107825.03"
"jira","30","106738.60"
"python","285","106526.78"
"r","175","105589.42"
"dax","12","105208.33"
"tableau","293","104401.92"
"javascript","22","103897.27"
"redshift","19","103083.32"
"sql server","43","102972.72"
"sql","493","102364.41"
"flow","38","102107.74"
"sas","81","102037.24"
"alteryx","23","101387.24"
"ssrs","15","100815.03"
"spss","32","100586.40"
"power bi","130","100270.07"
"t-sql","11","99844.09"
"ms access","10","99561.30"
"visio","11","96219.59"
"outlook","16","93212.91"
"vba","31","93074.16"
"excel","290","90542.03"
"powerpoint","69","90303.09"
"sheets","31","88556.51"
"word","57","87074.87"
"sharepoint","18","86707.22"
